cell_id,lon,lat
cell_0_0,-118.92205105669035,32.793856913360685
cell_0_1,-118.92224511186387,32.80287249020942
cell_0_2,-118.9224392536068,32.81188805303768
cell_0_3,-118.92263348195493,32.82090360184308
cell_0_4,-118.9228277969438,32.82991913662324
cell_0_5,-118.92302219860933,32.83893465737579
cell_0_6,-118.92321668698717,32.847950164098314
cell_0_7,-118.92341126211318,32.856965656788475
cell_0_8,-118.92360592402315,32.86598113544385
cell_0_9,-118.92380067275283,32.87499660006209
cell_0_10,-118.92399550833821,32.8840120506408
cell_0_11,-118.92419043081512,32.893027487177605
cell_0_12,-118.92438544021941,32.90204290967013
cell_0_13,-118.9245805365871,32.911058318116
cell_0_14,-118.9247757199541,32.92007371251283
cell_0_15,-118.92497099035643,32.92908909285828
cell_0_16,-118.92516634783006,32.93810445914994
cell_0_17,-118.92536179241102,32.947119811385456
cell_0_18,-118.92555732413537,32.95613514956243
cell_0_19,-118.92575294303921,32.96515047367854
cell_0_20,-118.9259486491586,32.97416578373139
cell_0_21,-118.92614444252978,32.98318107971861
cell_0_22,-118.92634032318873,32.99219636163784
cell_0_23,-118.92653629117174,33.00121162948671
cell_0_24,-118.92673234651498,33.01022688326284
cell_0_25,-118.92692848925465,33.01924212296391
cell_0_26,-118.9271247194271,33.028257348587516
cell_0_27,-118.92732103706851,33.037272560131306
cell_0_28,-118.92751744221518,33.046287757592935
cell_0_29,-118.92771393490345,33.05530294097002
cell_0_30,-118.92791051516969,33.06431811026022
cell_0_31,-118.92810718305024,33.073333265461166
cell_0_32,-118.92830393858154,33.082348406570496
cell_0_33,-118.92850078179994,33.091363533585884
cell_0_34,-118.92869771274192,33.100378646504936
cell_0_35,-118.928894731444,33.10939374532531
cell_0_36,-118.92909183794266,33.11840883004467
cell_0_37,-118.92928903227434,33.12742390066065
cell_0_38,-118.9294863144757,33.136438957170895
cell_0_39,-118.92968368458322,33.145453999573064
cell_0_40,-118.92988114263352,33.1544690278648
cell_0_41,-118.93007868866323,33.16348404204376
cell_0_42,-118.93027632270899,33.17249904210761
cell_0_43,-118.93047404480748,33.18151402805397
cell_0_44,-118.93067185499537,33.19052899988052
cell_0_45,-118.93086975330937,33.19954395758489
cell_0_46,-118.93106773978629,33.20855890116478
cell_0_47,-118.93126581446279,33.217573830617816
cell_0_48,-118.93146397737578,33.22658874594166
cell_0_49,-118.931662228562,33.23560364713397
cell_0_50,-118.93186056805831,33.24461853419242
cell_0_51,-118.93205899590158,33.253633407114656
cell_0_52,-118.93225751212871,33.26264826589835
cell_0_53,-118.93245611677666,33.271663110541155
cell_0_54,-118.93265480988227,33.28067794104075
cell_0_55,-118.93285359148258,33.289692757394796
cell_0_56,-118.9330524616146,33.298707559600956
cell_0_57,-118.93325142031527,33.3077223476569
cell_0_58,-118.93345046762173,33.31673712156028
cell_0_59,-118.93364960357096,33.325751881308776
cell_0_60,-118.9338488282001,33.33476662690008
cell_0_61,-118.93404814154627,33.343781358331825
cell_0_62,-118.93424754364659,33.35279607560171
cell_0_63,-118.93444703453824,33.3618107787074
cell_0_64,-118.93464661425843,33.37082546764658
cell_0_65,-118.93484628284435,33.37984014241689
cell_0_66,-118.9350460403333,33.388854803016045
cell_0_67,-118.9352458867625,33.39786944944171
cell_0_68,-118.93544582216924,33.40688408169156
cell_0_69,-118.93564584659084,33.41589869976326
cell_0_70,-118.93584596006471,33.42491330365451
cell_0_71,-118.93604616262816,33.43392789336299
cell_0_72,-118.93624645431856,33.442942468886386
cell_0_73,-118.93644683517341,33.451957030222346
cell_0_74,-118.93664730523012,33.460971577368596
cell_0_75,-118.93684786452617,33.4699861103228
cell_0_76,-118.93704851309903,33.47900062908265
cell_0_77,-118.93724925098628,33.48801513364581
cell_0_78,-118.93745007822537,33.49702962401001
cell_0_79,-118.937650994854,33.50604410017291
cell_0_80,-118.9378520009097,33.5150585621322
cell_0_81,-118.93805309643005,33.524073009885576
cell_0_82,-118.9382542814528,33.53308744343074
cell_0_83,-118.93845555601563,33.54210186276538
cell_0_84,-118.93865692015612,33.55111626788717
cell_0_85,-118.9388583739121,33.56013065879381
cell_0_86,-118.9390599173213,33.56914503548302
cell_0_87,-118.93926155042146,33.578159397952476
cell_0_88,-118.93946327325047,33.58717374619987
cell_0_89,-118.93966508584609,33.596188080222916
cell_0_90,-118.9398669882462,33.60520240001931
cell_0_91,-118.94006898048872,33.614216705586735
cell_0_92,-118.94027106261146,33.62323099692292
cell_0_93,-118.94047323465244,33.63224527402555
cell_0_94,-118.9406754966496,33.64125953689233
cell_0_95,-118.9408778486409,33.65027378552096
cell_0_96,-118.9410802906644,33.65928801990916
cell_0_97,-118.94128282275805,33.66830224005462
cell_0_98,-118.94148544496001,33.67731644595505
cell_0_99,-118.94168815730836,33.68633063760817
cell_0_100,-118.94189095984112,33.69534481501168
cell_0_101,-118.94209385259651,33.704358978163285
cell_0_102,-118.94229683561268,33.713373127060706
cell_0_103,-118.94249990892783,33.722387261701634
cell_0_104,-118.94270307258017,33.73140138208382
cell_0_105,-118.94290632660794,33.740415488204945
cell_0_106,-118.94310967104943,33.74942958006274
cell_0_107,-118.94331310594292,33.75844365765491
cell_0_108,-118.94351663132676,33.767457720979166
cell_0_109,-118.94372024723924,33.77647177003325
cell_0_110,-118.9439239537188,33.78548580481486
cell_0_111,-118.94412775080377,33.79449982532173
cell_0_112,-118.94433163853263,33.80351383155157
cell_0_113,-118.94453561694384,33.8125278235021
cell_0_114,-118.94473968607586,33.821541801171044
cell_0_115,-118.9449438459672,33.83055576455614
cell_0_116,-118.94514809665638,33.8395697136551
cell_0_117,-118.94535243818198,33.84858364846565
cell_0_118,-118.94555687058258,33.8575975689855
cell_0_119,-118.94576139389677,33.8666114752124
cell_0_120,-118.94596600816318,33.87562536714408
cell_0_121,-118.94617071342056,33.884639244778256
cell_0_122,-118.9463755097075,33.893653108112666
cell_0_123,-118.94658039706275,33.90266695714504
cell_0_124,-118.94678537552508,33.9116807918731
cell_0_125,-118.9469904451332,33.9206946122946
cell_0_126,-118.94719560592594,33.929708418407245
cell_0_127,-118.94740085794217,33.93872221020879
cell_0_128,-118.94760620122065,33.94773598769698
cell_0_129,-118.94781163580033,33.956749750869534
cell_0_130,-118.94801716172009,33.96576349972419
cell_0_131,-118.94822277901879,33.97477723425869
cell_0_132,-118.9484284877355,33.983790954470784
cell_0_133,-118.94863428790909,33.9928046603582
cell_0_134,-118.94884017957861,34.00181835191869
cell_0_135,-118.94904616278318,34.01083202914998
cell_0_136,-118.94925223756174,34.01984569204983
cell_0_137,-118.94945840395341,34.02885934061598
cell_0_138,-118.94966466199737,34.03787297484618
cell_0_139,-118.94987101173271,34.04688659473817
cell_0_140,-118.95007745319857,34.0559002002897
cell_0_141,-118.95028398643419,34.064913791498505
cell_0_142,-118.95049061147878,34.07392736836235
cell_0_143,-118.95069732837162,34.082940930879
cell_0_144,-118.9509041371519,34.09195447904617
cell_0_145,-118.95111103785896,34.100968012861635
cell_0_146,-118.95131803053216,34.109981532323154
cell_0_147,-118.95152511521086,34.11899503742846
cell_0_148,-118.9517322919344,34.12800852817533
cell_0_149,-118.95193956074225,34.1370220045615
cell_0_150,-118.95214692167379,34.146035466584735
cell_0_151,-118.9523543747685,34.155048914242805
cell_0_152,-118.95256192006588,34.16406234753346
cell_0_153,-118.95276955760541,34.17307576645445
cell_0_154,-118.95297728742669,34.182089171003554
cell_0_155,-118.95318510956922,34.19110256117852
cell_0_156,-118.95339302407271,34.20011593697711
cell_0_157,-118.95360103097671,34.209129298397094
cell_0_158,-118.9538091303209,34.218142645436245
cell_0_159,-118.95401732214492,34.22715597809232
cell_0_160,-118.9542256064885,34.23616929636307
cell_0_161,-118.95443398339137,34.245182600246295
cell_0_162,-118.9546424528933,34.254195889739734
cell_0_163,-118.95485101503408,34.26320916484118
cell_0_164,-118.95505966985355,34.27222242554839
cell_0_165,-118.9552684173915,34.281235671859136
cell_0_166,-118.95547725768785,34.2902489037712
cell_0_167,-118.95568619078244,34.29926212128235
cell_0_168,-118.95589521671528,34.308275324390344
cell_0_169,-118.95610433552622,34.31728851309298
cell_0_170,-118.95631354725533,34.32630168738803
cell_0_171,-118.9565228519426,34.335314847273274
cell_0_172,-118.95673224962803,34.34432799274647
cell_0_173,-118.9569417403517,34.35334112380542
cell_0_174,-118.95715132415368,34.3623542404479
cell_0_175,-118.95736100107415,34.371367342671675
cell_0_176,-118.95757077115317,34.38038043047453
cell_0_177,-118.95778063443099,34.38939350385427
cell_0_178,-118.95799059094776,34.39840656280867
cell_0_179,-118.95820064074367,34.40741960733549
cell_0_180,-118.95841078385911,34.41643263743255
cell_0_181,-118.95862102033428,34.42544565309763
cell_0_182,-118.95883135020944,34.4344586543285
cell_0_183,-118.95904177352497,34.44347164112295
cell_0_184,-118.95925229032129,34.4524846134788
cell_0_185,-118.95946290063868,34.4614975713938
cell_0_186,-118.95967360451769,34.47051051486577
cell_0_187,-118.95988440199866,34.479523443892504
cell_0_188,-118.96009529312218,34.48853635847177
cell_0_189,-118.96030627792865,34.49754925860139
cell_0_190,-118.96051735645865,34.50656214427914
cell_0_191,-118.96072852875271,34.51557501550281
cell_0_192,-118.96093979485144,34.524587872270224
cell_0_193,-118.96115115479547,34.533600714579165
cell_0_194,-118.96136260862542,34.54261354242743
cell_0_195,-118.961574156382,34.55162635581283
cell_0_196,-118.96178579810584,34.56063915473316
cell_0_197,-118.96199753383769,34.5696519391862
cell_0_198,-118.96220936361836,34.5786647091698
cell_0_199,-118.96242128748854,34.587677464681725
cell_0_200,-118.96263330548913,34.5966902057198
